"obs","AKT_R_SA","IL_M1","L_SA","LT_EUR","M_R_EU15_SA","M_RU_USD_SA","P_M_EU15_SA","P_M_SA","P_X_SA","T","X_R_SA","BP_IM_SA","G_N_SA"
"2011Q1",202.32613393289401,6.0,1628.0012579614506,3.4527999999999999,1003836.5487672014,67811.095027383213,1.0039080413184034,1.0875437461205328,1.1774654251174739,64.0,11895.866573354278,30215.65569123215,4208.3534557079611
"2011Q2",202.32613393289401,6.0,1623.9312548165472,3.4527999999999999,1016384.5056267914,68658.733715225506,1.0056648803907104,1.0902626054858342,1.1804090886802674,65.0,12104.04423838798,30064.577412775991,4260.95787390431
"2011Q3",202.32613393289401,5.5,1619.8714266795059,3.4527999999999999,1029089.3119471263,69860.261555241959,1.0081790425916872,1.0929882619995488,1.1833601114019681,66.0,12315.865012559771,29914.254525712109,4314.2198473281132
"2011Q4",202.32613393289401,5.5,1615.8217481128072,3.4527999999999999,1041952.9283464653,71082.816132458698,1.0106994901981663,1.0957207326545475,1.1863185116804729,67.0,12531.392650279568,29764.683253083549,4368.1475954197149
"2012Q1",202.32613393289401,5.5,1611.7821937425254,3.4527999999999999,1054977.3399507962,72326.765414776732,1.0132262389236617,1.0984600344861839,1.189284307959674,68.0,12750.692021659461,29615.85983681813,4422.7494403624614
"2012Q2",202.32613393289401,5.5,1607.7527382581691,3.4527999999999999,1068164.5567001812,74496.568377220043,1.0157593045209707,1.1012061845723993,1.1922575187295732,69.0,12973.829132038501,29541.820187226087,4478.0338083669922
"2012Q3",202.32613393289401,5.0,1603.7333564125238,3.4527999999999999,1081516.6136589334,76731.465428536641,1.0182987027822732,1.1039592000338303,1.195238162526397,70.0,13200.871141849177,29467.965636758025,4534.0092309715792
"2012Q4",202.32613393289401,5.0,1599.7240230214925,3.4527999999999999,1097739.3628638175,79033.40939139275,1.0208444495392288,1.1067190980339148,1.198226257932713,71.0,13464.88856468616,29394.295722666131,4590.6843463587238
"2013Q1",202.32613393289401,5.0,1595.7247129639388,3.4527999999999999,1114205.4533067748,81404.411673134528,1.0233965606630768,1.1094858957789995,1.2012218235775447,72.0,13734.186335979883,29320.809983359468,4648.0679006882074
"2013Q2",202.32613393289401,5.0,1591.7354011815291,3.4527999999999999,1130918.5351063765,83846.544023328563,1.0259550520647345,1.112259610518447,1.2042248781364886,73.0,14008.870062699481,29247.507958401071,4706.1687494468097
"2013Q3",202.32613393289401,5.0,1587.7560626785753,3.4527999999999999,1147882.3131329722,86361.940344028422,1.0285199396948963,1.1150402595447431,1.2072354403318297,74.0,14289.047463953471,29174.389188505069,4764.9958588148947
"2013Q4",202.32613393289401,5.0,1583.7866725218789,3.4527999999999999,1165100.547829967,88952.798554349283,1.0310912395441334,1.1178278601936049,1.2102535289326593,75.0,14574.828413232541,29101.453215533809,4824.5583070500807
"2014Q1",202.32613393289401,5.0,1579.8272058405744,3.4527999999999999,1182577.0560474168,91621.382510979762,1.0336689676429938,1.1206224298440888,1.2132791627549908,76.0,14866.324981497191,29101.453215533809,4884.865285888206
"2014Q2",202.32613393289401,5.0,1575.8776378259731,3.4527999999999999,1200315.7118881282,94370.023986309156,1.0362531400621011,1.123423985918699,1.2163123606618782,77.0,15163.651481127135,29101.453215533809,4945.9261019618079
"2014Q3",202.32613393289401,5.0,1571.9379437314083,3.4527999999999999,1218320.4475664503,97201.12470589843,1.0388437729122564,1.1262325458834956,1.2193531415635328,78.0,15466.924510749679,29101.453215533809,5007.7501782363306
"2014Q4",202.32613393289401,5.0,1568.0080988720799,3.4527999999999999,1236595.2542799471,100117.15844707539,1.0414408823445369,1.1290481272482042,1.2224015244174415,79.0,15776.263000964673,29101.453215533809,5070.3470554642845
"2015Q1",202.32613393289401,5.0,1564.0880786248997,3.4527999999999999,1255144.1830941464,103120.67320048765,1.0440444845503982,1.1318707475663248,1.225457528228485,80.0,16091.788260983967,29101.453215533809,5133.7263936575882
"2015Q2",202.32613393289401,5.0,1560.1778584283375,3.4527999999999999,1273971.3458405589,106214.29339650228,1.0466545957617741,1.1347004244352406,1.2285211720490561,81.0,16413.624026203648,29101.453215533809,5197.8979735783078
"2015Q3",202.32613393289401,5.0,1556.2774137822666,3.4527999999999999,1293080.9160281674,109400.72219839736,1.0492712322511786,1.1375371754963286,1.2315924749791787,82.0,16741.89650672772,29101.453215533809,5262.8716982480364
"2015Q4",202.32613393289401,5.0,1552.3867202478111,3.4527999999999999,1312477.12976859,112682.74386434928,1.0518944103318064,1.1403810184350693,1.2346714561666265,83.0,17076.734436862276,29101.453215533809,5328.6575944761362
